C1.1	43495610
C1.2	61949928
C1.3	45317518
C1.4	39338144
C1.5	51620504
C2.1	72634676
C2.2	74000600
C2.3	57689972
C2.4	51456192
C2.5	65467184
C3.1	64364534
C3.2	56751216
C3.3	69785348
C3.4	69707462
C3.5	58584566
D1.1	48594126
D1.2	58331768
D1.3	39514874
D1.4	56322846
D1.5	59264080
D2.1	57770558
D2.2	66823242
D2.3	64642406
D2.4	86455964
D2.5	65587670
D3.1	45342286
D3.2	66572440
D3.3	65778756
D3.4	54676452
D3.5	63326674
F1.1	53484362
F1.2	79627498
F1.3	92280934
F1.4	48712346
F1.5	56327688
F2.1	76911660
F2.2	71649308
F2.3	76280082
F2.4	82234646
F2.5	65296548
F3.1	53077436
F3.2	53313064
F3.3	62586882
F3.4	62775116
F3.5	56151874
M1.1	59892518
M1.2	59380604
M1.3	61976986
M1.4	83046068
M1.5	47090172
